id,title,year,author,material,description,image,lat,lng,location_name,themes
1,"Compostela Pilgrim Badge","1350","Unknown pilgrim workshop, Santiago de Compostela","Lead-tin alloy","A cheap pewter badge sold to pilgrims arriving at the shrine of St James, sewn onto a hat or cloak as proof of the completed journey. Thousands of such badges, mass-produced near major shrines, survive as evidence of the sheer scale of medieval pilgrim traffic across Europe.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Pilgrim_badge_Netherlands.jpg/320px-Pilgrim_badge_Netherlands.jpg",42.8805,-8.5456,"Santiago de Compostela, Kingdom of Galicia","Pilgrimage"
2,"Letter of Safe Conduct for a Merchant","1398","Chancery of the Duke of Burgundy","Ink on parchment","A salvoconduct issued to an Italian merchant travelling through Burgundian territory, guaranteeing protection from tolls and seizure along the road. Such documents reveal how fragile safety was for travelling merchants and how essential political favour was to long-distance trade.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Charter_of_Charles_IV.jpg/320px-Charter_of_Charles_IV.jpg",51.2093,3.2247,"Bruges, County of Flanders","Trade Routes;Diplomacy"
3,"Hanseatic Merchant's Account Book","1407","Hinrich Sudermann, Lübeck merchant","Paper, iron gall ink, leather binding","A ledger recording shipments of furs, wax, and grain between Lübeck, Novgorod, and Bruges. The book itself travelled with the merchant's agents, its pages a physical record of a mobile mercantile career spanning the Baltic and North Sea.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Hanseatic_League_trade.jpg/320px-Hanseatic_League_trade.jpg",53.8655,10.6866,"Lübeck, Holy Roman Empire","Trade Routes"
4,"University Matriculation Register Entry","1385","University of Bologna registrar","Ink on parchment","The enrolment record of a student from Kraków who travelled over 1,200 km to study law. Student migration of this kind built dense networks connecting central European towns to Italian universities and back again.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bologna_University_seal.jpg/320px-Bologna_University_seal.jpg",44.4949,11.3426,"Bologna, Papal States","Scholarly Mobility"
5,"Papal Legate's Travel Diary Fragment","1373","Anonymous secretary to a papal legate","Ink on paper","A fragmentary diary describing the legate's journey from Avignon to Prague to negotiate with the imperial court, noting inns, river crossings, and delays caused by weather and local conflict. It offers a rare first-person account of the physical difficulty of diplomatic travel.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Palais_des_Papes_Avignon.jpg/320px-Palais_des_Papes_Avignon.jpg",43.9493,4.8055,"Avignon, Papal enclave","Diplomacy"
6,"Woodcut of the Prague Caroline University Seal","1409","Workshop associated with Charles University","Woodblock print on paper","Commemorates the departure of German-speaking masters and students from Prague following the Kutná Hora decree, a mass academic migration that reshaped the map of Central European learning almost overnight.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Charles_University_seal.jpg/320px-Charles_University_seal.jpg",50.0755,14.4378,"Prague, Kingdom of Bohemia","Scholarly Mobility"
7,"Expulsion Edict Copy","1492","Royal chancery of Castile and Aragón","Ink on paper","A contemporary copy of the edict ordering the expulsion of Jewish communities from Castile and Aragón, setting in motion one of the largest forced migrations of the late medieval Mediterranean world, with routes leading toward Portugal, North Africa, and the Ottoman lands.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Alhambra_Decree.jpg/320px-Alhambra_Decree.jpg",40.4168,-3.7038,"Toledo, Crown of Castile","Forced Migration"
8,"Venetian Galley Manifest","1420","Office of the Venetian Arsenal","Ink on paper","A cargo and passenger manifest for a state galley bound for Alexandria, listing merchants, pilgrims bound for Jerusalem, and diplomatic couriers travelling together aboard the same regulated convoy.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Venetian_Arsenal.jpg/320px-Venetian_Arsenal.jpg",45.4408,12.3155,"Venice, Republic of Venice","Trade Routes;Pilgrimage"
9,"Portrait Medal of a Byzantine Envoy","1439","Workshop attributed to Pisanello","Bronze","Cast to commemorate the visit of a Byzantine delegation to the Council of Ferrara-Florence, seeking Western military aid. The medal captures a rare face-to-face encounter between Latin and Byzantine elites amid the slow collapse of Constantinople's hinterland.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Pisanello_medal_John_VIII.jpg/320px-Pisanello_medal_John_VIII.jpg",43.7228,11.2551,"Florence, Republic of Florence","Diplomacy"
10,"Guild Letter Recommending a Travelling Journeyman","1455","Weavers' Guild of Ghent","Ink on parchment","A letter of recommendation carried by a journeyman weaver moving between guild towns to complete his training, part of the structured circulation of skilled labour that underpinned craft economies across the Low Countries and the Rhineland.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ghent_Cloth_Hall.jpg/320px-Ghent_Cloth_Hall.jpg",51.0543,3.7174,"Ghent, County of Flanders","Trade Routes"
11,"Reliquary Casket from a Returning Crusader","1291","Levantine or Cypriot workshop","Wood, ivory, gilt copper","Brought back to Western Europe after the fall of Acre, this casket travelled with a returning knight as both a devotional object and a tangible souvenir of a failed campaign, embodying the entangled routes of war, faith, and retreat.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Limoges_reliquary_casket.jpg/320px-Limoges_reliquary_casket.jpg",50.8503,4.3517,"Brussels, Duchy of Brabant","Pilgrimage;Forced Migration"
12,"London Alien Subsidy Roll","1440","Exchequer clerks of the City of London","Ink on paper","A tax roll listing resident foreigners in London — Flemish weavers, Italian bankers, Hanseatic merchants — taxed specifically for their alien status. The roll is one of the richest surviving sources for tracing everyday immigrant communities in a late medieval city.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Medieval_London.jpg/320px-Medieval_London.jpg",51.5074,-0.1278,"London, Kingdom of England","Trade Routes;Forced Migration"
